Date,"Vacation"
2019-01-01,247
2019-01-02,358
2019-01-03,400
2019-01-04,338
2019-01-05,276
2019-01-06,314
2019-01-07,428
2019-01-08,386
2019-01-09,342
2019-01-10,395
2019-01-11,293
2019-01-12,251
2019-01-13,285
2019-01-14,326
2019-01-15,299
2019-01-16,311
2019-01-17,323
2019-01-18,255
2019-01-19,223
2019-01-20,284
2019-01-21,295
2019-01-22,253
2019-01-23,287
2019-01-24,311
2019-01-25,234
2019-01-26,187
2019-01-27,240
2019-01-28,311
2019-01-29,270
2019-01-30,286
2019-01-31,295
2019-02-01,278
2019-02-02,227
2019-02-03,235
2019-02-04,267
2019-02-05,262
2019-02-06,261
2019-02-07,261
2019-02-08,265
2019-02-09,198
2019-02-10,278
2019-02-11,301
2019-02-12,354
2019-02-13,403
2019-02-14,283
2019-02-15,319
2019-02-16,242
2019-02-17,220
2019-02-18,332
2019-02-19,332
2019-02-20,385
2019-02-21,323
2019-02-22,301
2019-02-23,223
2019-02-24,220
2019-02-25,307
2019-02-26,315
2019-02-27,324
2019-02-28,383
2019-03-01,301
2019-03-02,268
2019-03-03,275
2019-03-04,312
2019-03-05,422
2019-03-06,368
2019-03-07,325
2019-03-08,284
2019-03-09,244
2019-03-10,334
2019-03-11,345
2019-03-12,322
2019-03-13,289
2019-03-14,379
2019-03-15,335
2019-03-16,350
2019-03-17,384
2019-03-18,364
2019-03-19,310
2019-03-20,334
2019-03-21,347
2019-03-22,375
2019-03-23,285
2019-03-24,266
2019-03-25,308
2019-03-26,344
2019-03-27,399
2019-03-28,339
2019-03-29,280
2019-03-30,265
2019-03-31,256
2019-04-01,328
2019-04-02,290
2019-04-03,365
2019-04-04,312
2019-04-05,307
2019-04-06,253
2019-04-07,292
2019-04-08,409
2019-04-09,277
2019-04-10,288
2019-04-11,305
2019-04-12,359
2019-04-13,245
2019-04-14,251
2019-04-15,342
2019-04-16,277
2019-04-17,304
2019-04-18,341
2019-04-19,357
2019-04-20,236
2019-04-21,252
2019-04-22,311
2019-04-23,289
2019-04-24,337
2019-04-25,352
2019-04-26,299
2019-04-27,308
2019-04-28,423
2019-04-29,307
2019-04-30,315
2019-05-01,303
2019-05-02,301
2019-05-03,297
2019-05-04,274
2019-05-05,283
2019-05-06,636
2019-05-07,384
2019-05-08,384
2019-05-09,321
2019-05-10,293
2019-05-11,274
2019-05-12,295
